rule_id,issue,field,value,severity
1,No issues found,-,-,
2,No issues found,-,-,
3,No issues found,-,-,
4,Weak_Protocol,service,http,HIGH
5,No issues found,-,-,
6,suspicious_service,service,ldap,High
6,suspicious_service,service,ldap,High
7,suspicious_service,service,smtp,High
7,No_logging_error,log,no log,MEDIUM
8,allow_all_service,service,all,MEDIUM
8,allow_all_service,action,accept,MEDIUM
9,allow_all_service,service,all,MEDIUM
9,allow_all_service,action,accept,MEDIUM
9,No_logging_error,log,no log,MEDIUM
10,No_logging_error,log,no log,MEDIUM
11,allow_all_service,service,all,MEDIUM
11,allow_all_service,action,accept,MEDIUM
12,suspicious_service,service,smtp,High
12,No_logging_error,log,no log,MEDIUM
13,No_logging_error,log,no log,MEDIUM
14,LPD_Port_Exposure,service,lpdw0rm,High
14,No_logging_error,log,no log,MEDIUM
15,No issues found,-,-,
16,No issues found,-,-,
17,allow_all_service,service,all,MEDIUM
17,allow_all_service,action,accept,MEDIUM
17,No_logging_error,log,no log,MEDIUM
18,No issues found,-,-,
19,No issues found,-,-,
20,No_logging_error,log,no log,MEDIUM
21,No_logging_error,log,no log,MEDIUM
22,No issues found,-,-,
23,allow_all_service,service,all,MEDIUM
23,allow_all_service,action,accept,MEDIUM
24,LPD_Port_Exposure,service,lpdw0rm,High
24,No_logging_error,log,no log,MEDIUM
25,No_logging_error,log,no log,MEDIUM
26,No issues found,-,-,
27,Weak_Protocol,service,ftp,HIGH
28,No issues found,-,-,
29,No issues found,-,-,
30,smb_Netbios_Exposed,service,135,CRITICAL
30,smb_Netbios_Exposed,service,445,CRITICAL
31,smb_Netbios_Exposed,service,135,CRITICAL
31,smb_Netbios_Exposed,service,445,CRITICAL
32,smb_Netbios_Exposed,service,135,CRITICAL
32,smb_Netbios_Exposed,service,445,CRITICAL
33,allow_all_service,service,all,MEDIUM
33,allow_all_service,action,accept,MEDIUM
34,Admin_Port_Exposed,service,ssh,CRITICAL
34,Admin_Port_Exposed,service,23,CRITICAL
34,Weak_Protocol,service,telnet,HIGH
35,Admin_Port_Exposed,service,ssh,CRITICAL
35,No_logging_error,log,no log,MEDIUM
36,Admin_Port_Exposed,service,ssh,CRITICAL
36,Admin_Port_Exposed,service,23,CRITICAL
36,No_logging_error,log,no log,MEDIUM
36,Weak_Protocol,service,telnet,HIGH
37,Weak_Protocol,service,http,HIGH
38,No issues found,-,-,
39,Admin_Port_Exposed,service,23,CRITICAL
39,No_logging_error,log,no log,MEDIUM
39,Weak_Protocol,service,telnet,HIGH
40,No issues found,-,-,
41,allow_all_service,service,all,MEDIUM
41,allow_all_service,action,accept,MEDIUM
41,No_logging_error,log,no log,MEDIUM
42,No issues found,-,-,
43,No_logging_error,log,no log,MEDIUM
44,No issues found,-,-,
45,No_logging_error,log,no log,MEDIUM
45,Weak_Protocol,service,http,HIGH
46,No_logging_error,log,no log,MEDIUM
46,Weak_Protocol,service,ftp,HIGH
47,No_logging_error,log,no log,MEDIUM
48,Weak_Protocol,service,http,HIGH
49,No_logging_error,log,no log,MEDIUM
50,Admin_Port_Exposed,service,3389,CRITICAL
50,No_logging_error,log,no log,MEDIUM
50,Weak_Protocol,service,http,HIGH
51,Weak_Protocol,service,http,HIGH
52,Weak_Protocol,service,http,HIGH
53,Admin_Port_Exposed,service,ssh,CRITICAL
53,Admin_Port_Exposed,service,23,CRITICAL
53,Admin_Port_Exposed,service,3389,CRITICAL
53,No_logging_error,log,no log,MEDIUM
53,Weak_Protocol,service,telnet,HIGH
54,No_logging_error,log,no log,MEDIUM
54,Weak_Protocol,service,http,HIGH
55,No issues found,-,-,
56,No issues found,-,-,
57,No issues found,-,-,
58,Weak_Protocol,service,http,HIGH
59,Weak_Protocol,service,http,HIGH
60,Admin_Port_Exposed,service,ssh,CRITICAL
