rule_id,issue,field,value,severity
1,No issues found,-,-,
2,No issues found,-,-,
3,No issues found,-,-,
4,weak_protocol,service,http,HIGH
5,No issues found,-,-,
6,No issues found,-,-,
7,no_logging,log,no log,MEDIUM
7,no_logging,action,accept,MEDIUM
8,allow_all_service,service,all,HIGH
8,allow_all_service,action,accept,HIGH
9,allow_all_service,service,all,HIGH
9,allow_all_service,action,accept,HIGH
9,no_logging,log,no log,MEDIUM
9,no_logging,action,accept,MEDIUM
10,no_logging,log,no log,MEDIUM
10,no_logging,action,accept,MEDIUM
11,allow_all_service,service,all,HIGH
11,allow_all_service,action,accept,HIGH
12,no_logging,log,no log,MEDIUM
12,no_logging,action,accept,MEDIUM
13,no_logging,log,no log,MEDIUM
13,no_logging,action,accept,MEDIUM
14,no_logging,log,no log,MEDIUM
14,no_logging,action,accept,MEDIUM
15,No issues found,-,-,
16,No issues found,-,-,
17,allow_all_service,service,all,HIGH
17,allow_all_service,action,accept,HIGH
17,no_logging,log,no log,MEDIUM
17,no_logging,action,accept,MEDIUM
18,No issues found,-,-,
19,No issues found,-,-,
20,no_logging,log,no log,MEDIUM
20,no_logging,action,accept,MEDIUM
21,no_logging,log,no log,MEDIUM
21,no_logging,action,accept,MEDIUM
22,No issues found,-,-,
23,allow_all_service,service,all,HIGH
23,allow_all_service,action,accept,HIGH
24,no_logging,log,no log,MEDIUM
24,no_logging,action,accept,MEDIUM
25,no_logging,log,no log,MEDIUM
25,no_logging,action,accept,MEDIUM
26,No issues found,-,-,
27,weak_protocol,service,ftp,HIGH
28,No issues found,-,-,
29,No issues found,-,-,
30,suspicious_service,service,microsoft-ds,HIGH
30,suspicious_service,service,445,HIGH
31,suspicious_service,service,microsoft-ds,HIGH
31,suspicious_service,service,445,HIGH
32,suspicious_service,service,microsoft-ds,HIGH
32,suspicious_service,service,445,HIGH
33,allow_all_service,service,all,HIGH
33,allow_all_service,action,accept,HIGH
34,service_admin_port_exposed,service,22,CRITICAL
34,service_admin_port_exposed,service,23,CRITICAL
34,weak_protocol,service,telnet,HIGH
35,service_admin_port_exposed,service,22,CRITICAL
35,no_logging,log,no log,MEDIUM
35,no_logging,action,accept,MEDIUM
36,service_admin_port_exposed,service,22,CRITICAL
36,service_admin_port_exposed,service,23,CRITICAL
36,no_logging,log,no log,MEDIUM
36,no_logging,action,accept,MEDIUM
36,weak_protocol,service,telnet,HIGH
37,weak_protocol,service,http,HIGH
38,No issues found,-,-,
39,service_admin_port_exposed,service,23,CRITICAL
39,no_logging,log,no log,MEDIUM
39,no_logging,action,accept,MEDIUM
39,weak_protocol,service,telnet,HIGH
40,No issues found,-,-,
41,allow_all_service,service,all,HIGH
41,allow_all_service,action,accept,HIGH
41,no_logging,log,no log,MEDIUM
41,no_logging,action,accept,MEDIUM
42,No issues found,-,-,
43,no_logging,log,no log,MEDIUM
43,no_logging,action,accept,MEDIUM
44,No issues found,-,-,
45,no_logging,log,no log,MEDIUM
45,no_logging,action,accept,MEDIUM
45,weak_protocol,service,http,HIGH
46,no_logging,log,no log,MEDIUM
46,no_logging,action,accept,MEDIUM
46,weak_protocol,service,ftp,HIGH
47,no_logging,log,no log,MEDIUM
47,no_logging,action,accept,MEDIUM
48,weak_protocol,service,http,HIGH
49,no_logging,log,no log,MEDIUM
49,no_logging,action,accept,MEDIUM
50,service_admin_port_exposed,service,3389,CRITICAL
50,no_logging,log,no log,MEDIUM
50,no_logging,action,accept,MEDIUM
50,weak_protocol,service,http,HIGH
51,weak_protocol,service,http,HIGH
52,weak_protocol,service,http,HIGH
53,service_admin_port_exposed,service,22,CRITICAL
53,service_admin_port_exposed,service,23,CRITICAL
53,service_admin_port_exposed,service,3389,CRITICAL
53,no_logging,log,no log,MEDIUM
53,no_logging,action,accept,MEDIUM
53,weak_protocol,service,telnet,HIGH
54,no_logging,log,no log,MEDIUM
54,no_logging,action,accept,MEDIUM
54,weak_protocol,service,http,HIGH
55,No issues found,-,-,
56,No issues found,-,-,
57,No issues found,-,-,
58,weak_protocol,service,http,HIGH
59,weak_protocol,service,http,HIGH
60,service_admin_port_exposed,service,22,CRITICAL
