rule_id,issue,field,value,severity,category
1,allow_all_destination_port,dstaddr,all,HIGH,User Access
1,allow_all_destination_port,action,accept,HIGH,User Access
1,allow_all_service,service,all,MEDIUM,Web
1,allow_all_service,action,accept,MEDIUM,Web
1,broad_ip_range,dstaddr,all,HIGH,User Access
2,allow_all_destination_port,dstaddr,all,HIGH,User Access
2,allow_all_destination_port,action,accept,HIGH,User Access
2,allow_all_service,service,all,MEDIUM,Web
2,allow_all_service,action,accept,MEDIUM,Web
2,broad_ip_range,dstaddr,all,HIGH,User Access
3,allow_all_source_port,srcaddr,all,HIGH,User Access
3,allow_all_source_port,action,accept,HIGH,User Access
3,allow_all_service,service,all,MEDIUM,Web
3,allow_all_service,action,accept,MEDIUM,Web
3,broad_ip_range,srcaddr,all,HIGH,User Access
4,allow_all_destination_port,dstaddr,all,HIGH,User Access
4,allow_all_destination_port,action,accept,HIGH,User Access
4,broad_ip_range,dstaddr,all,HIGH,User Access
4,weak_protocol,service,http,HIGH,Web
5,allow_all_service,service,all,MEDIUM,Web
5,allow_all_service,action,accept,MEDIUM,Web
6,allow_all_service,service,all,MEDIUM,Web
6,allow_all_service,action,accept,MEDIUM,Web
