rule_id,issue,field,value,severity,category
1,No issues found,-,-,,-
2,No issues found,-,-,,-
3,No issues found,-,-,,-
4,No issues found,-,-,,-
5,allow_all_source_port,srcaddr,any,HIGH,User Access
5,allow_all_source_port,action,accept,HIGH,User Access
5,allow_all_service,service,all,MEDIUM,Web
5,allow_all_service,action,accept,MEDIUM,Web
6,allow_all_service,service,all,MEDIUM,Web
6,allow_all_service,action,accept,MEDIUM,Web
7,allow_all_service,service,all,MEDIUM,Web
7,allow_all_service,action,accept,MEDIUM,Web
8,allow_all_service,service,all,MEDIUM,Web
8,allow_all_service,action,accept,MEDIUM,Web
9,allow_all_service,service,all,MEDIUM,Web
9,allow_all_service,action,accept,MEDIUM,Web
10,allow_all_service,service,all,MEDIUM,Web
10,allow_all_service,action,accept,MEDIUM,Web
11,No issues found,-,-,,-
12,allow_all_service,service,all,MEDIUM,Web
12,allow_all_service,action,accept,MEDIUM,Web
13,allow_all_service,service,all,MEDIUM,Web
13,allow_all_service,action,accept,MEDIUM,Web
14,allow_all_service,service,all,MEDIUM,Web
14,allow_all_service,action,accept,MEDIUM,Web
15,allow_all_service,service,all,MEDIUM,Web
15,allow_all_service,action,accept,MEDIUM,Web
16,allow_all_service,service,all,MEDIUM,Web
16,allow_all_service,action,accept,MEDIUM,Web
17,No issues found,-,-,,-
18,allow_all_service,service,all,MEDIUM,Web
18,allow_all_service,action,accept,MEDIUM,Web
19,allow_all_service,service,all,MEDIUM,Web
19,allow_all_service,action,accept,MEDIUM,Web
20,allow_all_service,service,all,MEDIUM,Web
20,allow_all_service,action,accept,MEDIUM,Web
21,allow_all_service,service,all,MEDIUM,Web
21,allow_all_service,action,accept,MEDIUM,Web
22,allow_all_service,service,all,MEDIUM,Web
22,allow_all_service,action,accept,MEDIUM,Web
23,allow_all_service,service,all,MEDIUM,Web
23,allow_all_service,action,accept,MEDIUM,Web
24,allow_all_service,service,all,MEDIUM,Web
24,allow_all_service,action,accept,MEDIUM,Web
25,allow_all_service,service,all,MEDIUM,Web
25,allow_all_service,action,accept,MEDIUM,Web
26,allow_all_service,service,all,MEDIUM,Web
26,allow_all_service,action,accept,MEDIUM,Web
27,allow_all_service,service,all,MEDIUM,Web
27,allow_all_service,action,accept,MEDIUM,Web
28,allow_all_service,service,all,MEDIUM,Web
28,allow_all_service,action,accept,MEDIUM,Web
29,allow_all_service,service,all,MEDIUM,Web
29,allow_all_service,action,accept,MEDIUM,Web
30,No issues found,-,-,,-
